homeTeam,awayTeam,league,result,odds,date
West Ham,Southampton,Premier League,3:0,"['1.77', '3.87', '4.54']",2021-05-23
Wolves,Manchester Utd,Premier League,1:2,"['2.32', '3.26', '3.26']",2021-05-23
Aston Villa,Chelsea,Premier League,2:1,"['6.95', '4.82', '1.44']",2021-05-23
Burnley,Liverpool,Premier League,0:3,"['9.89', '6.31', '1.28']",2021-05-19
Crystal Palace,Arsenal,Premier League,1:3,"['5.85', '4.10', '1.59']",2021-05-19
Everton,Wolves,Premier League,1:0,"['1.79', '3.66', '4.75']",2021-05-19
Newcastle,Sheffield Utd,Premier League,1:0,"['1.85', '3.73', '4.25']",2021-05-19
Tottenham,Aston Villa,Premier League,1:2,"['1.61', '4.45', '5.10']",2021-05-19
West Brom,West Ham,Premier League,1:3,"['5.05', '4.30', '1.63']",2021-05-19
Brighton,Manchester City,Premier League,3:2,"['7.20', '4.65', '1.45']",2021-05-18
Chelsea,Leicester,Premier League,2:1,"['1.68', '3.80', '5.34']",2021-05-18
Manchester Utd,Fulham,Premier League,1:1,"['1.30', '5.76', '9.77']",2021-05-18
Southampton,Leeds,Premier League,0:2,"['2.63', '3.79', '2.49']",2021-05-18
Tottenham,Wolves,Premier League,2:0,"['1.54', '4.44', '5.89']",2021-05-16
West Brom,Liverpool,Premier League,1:2,"['12.27', '7.16', '1.21']",2021-05-16
Crystal Palace,Aston Villa,Premier League,3:2,"['3.09', '3.49', '2.30']",2021-05-16
Everton,Sheffield Utd,Premier League,0:1,"['1.36', '5.06', '9.01']",2021-05-16
Burnley,Leeds,Premier League,0:4,"['3.49', '3.80', '2.04']",2021-05-15
